Date,ID,Text
2024-01-16,-GYjfh1gpkM,we really do live in a dystopian society
2024-04-26,-GYjfh1gpkM,for the small amount of us who are ethical vegetarians and avoid leather for that reason a vegan leather option is very much a plus thats what im looking for and now the market can actually sell it to me
2024-05-06,-GYjfh1gpkM,it means its suitable for vegans vegans would object to actual leather
2023-09-14,-GYjfh1gpkM,that looks like just another bland suv with no soul
2023-09-15,-GYjfh1gpkM,which suvs do you feel have soul
2023-09-14,-GYjfh1gpkM,i get some people will hate it im fine with the design myself and it ticks most of the boxes i need a lot of evs are massive this a good size compromise with ok range for me
2023-09-14,-GYjfh1gpkM,"ok range 
there arent too many evs today with over 300 miles as a range"
2023-09-14,-GYjfh1gpkM,mikeiow2 well im very likely to buy one so ok decent range especially for the size of the vehicle i stand corrected
2023-10-26,-GYjfh1gpkM,update i did purchase the kona had it 2 weeks now and im very happy with it does what i want it to and not too big
2023-09-14,-GYjfh1gpkM,multipla successor
2023-09-14,-GYjfh1gpkM,korean cars are excellent k pop on the other hand is objectively awful unless youre a 12 year old girl
2023-09-14,-GYjfh1gpkM,wow retro pixel graphics whatever next  even more guff
2023-09-14,-GYjfh1gpkM,charging port at the front ruins the look
2023-09-14,-GYjfh1gpkM,a bit marmite on the looks especially side on
2023-09-14,-GYjfh1gpkM,well balanced review
2023-09-14,-GYjfh1gpkM,fine bit of woollarding there
2023-09-14,-GYjfh1gpkM,i think using simple plastic on areas that are not toched often if durable is actually pretty clever it lets u get more features for your money and as u said they did make important parts like the steering wheel and the silver colored buttons feel good so no real complaints
2023-09-18,-GYjfh1gpkM,i 100 agree hard plastic on the top of the door is a no go though as its somewhere many people rest their arms
2023-09-14,-GYjfh1gpkM,although that charging point at the front looks very handy i am wondering if it could also be an issue a small front end shunt could turn into a very expensive repair and mean the car wont charge until it is fixed
2023-09-14,-GYjfh1gpkM,i reckon not charging would be the least of worries as theres a trend in the auto insurance companies that heads toward claim adjusters not knowing if the battery pack and or high voltage system is damaged then not willing to accept any risk and writingoff evs with minor damage
2023-09-18,-GYjfh1gpkM,home insurance for the owner and the owers neighbors are about to sky rocket as these cars are a fire hazzard world wide these batteries are exploding causing immense damage i think the ev scam is going to be short lived long live ice
2023-09-24,-GYjfh1gpkM,dont tailgate and pay attention  also they have sensors that mean one gets a warning about being to close
2023-09-26,-GYjfh1gpkM,i have a new mg zs and someone reversed into my car it damaged the charge port and pushed in the flap and i had to get a mechanic to get it out
2023-10-15,-GYjfh1gpkM,100 agree putting charging port in front is a doa on my book
2023-11-18,-GYjfh1gpkM,not to mention that it ruins the look of the front end looks like it was put there as an afterthought
2024-01-24,-GYjfh1gpkM,"medroastt9888 it is the least of your worries the charging point is only a socket easy and low cost to repair the expensive things are things like cameras sensors and radar all that stuff is on the front of any ev inclusing tesla

personally a charging port on the left side of the car like on the tesla is a doa in my book most roadside chargers are on the pavement on the right side of the car unless you park against the flow which is forbidden in most countries this means your charging cableconnector is sticking out on the side where carsbikesetc can easily hit it  accidentally or on purpose"
2023-09-14,-GYjfh1gpkM,the position of the large  light clusters on corners of the bumpers is going to make parking scrapes expensive someone needs to tell hyundai designers what bumpers are supposed to do namely prevent expensive damage from small impacts
2023-09-14,-GYjfh1gpkM,its a fair point although i reckon they might be tougher than they look
2023-09-14,-GYjfh1gpkM,park more carefully please and what about sensors
2023-09-18,-GYjfh1gpkM,sensors are there for a reason if you scrape the bumper even with front sensors you deserve the bill tbh
2023-09-24,-GYjfh1gpkM,stop being negative please
2023-09-24,-GYjfh1gpkM,not to mention how dirty they will get during winter
2024-01-20,-GYjfh1gpkM,you can be the best in the world at parking your car but sometimes other drivers will scrape you getting in and out of parking spaces
2023-09-14,-GYjfh1gpkM,"k what bt who still never heard of either of them but im very much ok with that   8
as for the car itself it looks _interesting_ to say the least i dont dislike it but im not sure if i do like it"
2023-09-14,-GYjfh1gpkM,"looks like a 90s hyundai thats not a good thing
and i own an i30 fastback meaning i have sympathy for the brand"
2023-09-14,-GYjfh1gpkM,looks sharp wish the charging port was centred cant stand the nasty low grade plasticy materials  buttons still much prefer my kia niro ev4 for its plusher interior
2023-09-14,-GYjfh1gpkM,i like them both the kona has the advantage that the heat pump is standard where as you have to pay extra for it in the niro ev i prefer the smaller 17 inch wheels in the niro ev bigger wheels in the higher spec konas means less comfortable ride and less range the basic spec kona does have the 17 inch wheels i still havent decided which one i prefer
2023-09-14,-GYjfh1gpkM,looks are subjective i like it
2023-09-14,-GYjfh1gpkM,yes i think it is ugly as well but at least the charging port is at the front were all evs should be
2023-09-14,-GYjfh1gpkM,should never on the front
2024-01-13,-GYjfh1gpkM,front best how often are you crashing
2023-09-14,-GYjfh1gpkM,its a shame its so ugly 
2024-06-21,VhHwZub5-bY,love it really nice car smooth drive decent milage my one in white colour
2024-05-26,VhHwZub5-bY,will that rear plug do that toaster i mean hyundai say 15v but dont say how much it can pull
2024-03-08,VhHwZub5-bY,does anyone ordered the new long range kona recently is the  218hp electric motor with 654 kwh battery still available i ordered a new kona in romania and only the 204hp and 648kwh configuration is available
2024-03-02,VhHwZub5-bY,possibly the worst presenter ive ever seen on a channel regardless of one so big
2024-02-24,VhHwZub5-bY,bravo very nice clear presentation i live in turkey your explanation was very useful i have been using renault zoe for 2 years after watching your video i made an appointment for a test drive next week unfortunately the battery of the model arriving in our country is low thank you for your explanations best regards
2024-02-13,VhHwZub5-bY,thank you for addressing the frunk been saying that all a long who in their right mind will open the bonnet on a bidaily basis to access the cable100 not me
2024-04-14,VhHwZub5-bY,you are right no one would keep the cable there if they were using it every 2 days but i have a cable i use rarely if ever and would keep it there rather than have it kicking about in the boot
2024-02-12,VhHwZub5-bY,can hyundai service repair the battery answer is no they can only replace it which could cost the customer big bucks  they shouldve built it on the egmp platform to reduce costs further   but no that wasnt done why develop a new platform and not use it why hyundai loses money on each ev they build
2024-02-10,VhHwZub5-bY,i have a choice between this and the mg zs ev    im torn but this look good
2024-01-21,VhHwZub5-bY,daftjob done
2024-01-16,VhHwZub5-bY,the hate isnt as bad as its made out however over doing it a bit on the prequels
2024-01-15,VhHwZub5-bY,similar kind of presentation as with the ioniq 5 only much later one has to find out that only a slight dent in the under carriage near the batteries would write off the car no mention by alex of the fire danger the enormous repair costs skyrocketing insurance range anxiety high charging costs and extreme depreciation it would be much appreciated if alex could be more honest in her presentations and give us the full picture instead of just the rosy fluff
2024-01-10,VhHwZub5-bY,currently have an ioniq 5 but the  lease up this year so looking at the new kona electric as i dont need ioniq 5 size and i prefer normal buttons ioniq 5 has been a lovely car thou
2024-01-10,VhHwZub5-bY,1 its a froot as in a front boot as we have boots in the uk not trunks and 2 its designed to put the cables in so you dont have to go to the other end of the vehicle and open the boot and then get the cable out from under the false floor of the boot where you just put them
2024-01-09,VhHwZub5-bY,am i the only one seeing a kia sportage
2024-01-08,VhHwZub5-bY,good to see the korean ev manufacturers going for a blend of traditional switchgear climate controls indicator stalks etc and tech large screens mobile phone entry bidirectional charging etc
2024-01-06,VhHwZub5-bY,not putting my kid in an ev fire trap evs are not for families
2024-01-03,VhHwZub5-bY,weak argument about the number of actions needed to access the frunk
2024-01-15,VhHwZub5-bY,hahaha too much realism for ya describing the factual situation is for you a weak argument
2023-12-31,VhHwZub5-bY,when are they just gonna make  a hyundai pixel i mean they have enough of them on these cars
2023-12-28,VhHwZub5-bY,we like kona here in portugal
2023-12-26,VhHwZub5-bY,charging port in the front what a weird choice but for that price its not the end of the world great review overall it looks quite roomy and has a spacious trunk i dig it
2023-12-23,VhHwZub5-bY,it the battery is as poorly protected as the one in the ionic 5 i wont be buying one
2023-12-22,VhHwZub5-bY,i wonder how much hyundai paid her for this all positive no negative where are the cons
2024-01-15,VhHwZub5-bY,alex keeps her contacts happy if she would tell us also the negatives she would be out of a job
2023-12-21,VhHwZub5-bY,that laptop idea is dumb
2023-12-17,VhHwZub5-bY,finally physical buttons much safer while driving coz you dont have to take your eyes off the road while driving
2023-12-16,VhHwZub5-bY,155 i think its probably 15m high and 18m wide unless you are 66 
2023-12-14,VhHwZub5-bY,imagine if they stuck a 77kw battery in this 319 on the 66kw is insane youd be looking at around 370 miles
2023-12-13,VhHwZub5-bY,i would define this car ugly  what a shame
2023-12-13,VhHwZub5-bY,it looks much better than its predecessor
2023-12-11,VhHwZub5-bY,my 2023 kia soul ev here in canada has the charge port in the same location as this car and i can tell you it freezes shut in our cold winter despite having the same flap apparatus shown here so no it will still freeze and you should carry some deicing spray just in case
2023-12-20,VhHwZub5-bY,its heated
2023-12-20,VhHwZub5-bY,michaeldecsi1698 might be but its weak as hell couldnt get mine opened after we had freezing rain over night two weeks ago and i had to use deicer to get it to finally open
2023-12-11,VhHwZub5-bY,reminds me of robocops helmet
2023-12-11,VhHwZub5-bY,we want our man there the description tone is going too soft sounds less of review  more of flattery
2023-12-10,VhHwZub5-bY,shame its so ugly 
2023-12-06,VhHwZub5-bY,interesting video which brings the kona back onto the radar  ammusing that every shot of the car had it bouncing around like a kid on a pogo stick though 
2023-12-06,VhHwZub5-bY,250 the frunk is not useless at all imagine that you are on vacation with the trunk full of luggage and the charging cable is under the false floor in the trunk what are you doing  put down the luggage to get the cable isnt it better to have the cable in front in frunk
2023-12-06,VhHwZub5-bY,i buying this auto i hope so soon i dont know just thesewhen is fully charged how many km can drive
2023-12-05,VhHwZub5-bY,i was in the market for an ev and this ticked all practical boxes but the looks no
2023-12-02,VhHwZub5-bY,car would look so much better without these bottom lights from a different car or a bus d
2023-12-02,VhHwZub5-bY,has some features that i wish my ioniq 5 had  rear wiper blade plenty of physical buttons a better screen layout with a more analog feel slightly smaller will be a plus on uk roads pity they decided to go 400v rather than 800v though
2023-12-02,VhHwZub5-bY,"they should have put the charging port in the centre at the front and then had the hyundai badge on it
its great that they have physical buttons for heating etc though that isnt always a given anymore unfortunately"
2023-11-29,VhHwZub5-bY,aud price
2023-11-28,VhHwZub5-bY,alex is looking as gorgeous as ever   
2024-01-15,VhHwZub5-bY,your brain is in the wrong head
2024-01-15,VhHwZub5-bY,jackmorganfiftyfive explain
2023-11-28,VhHwZub5-bY,hello nice little carbut a very ugly set of headlights the previous generation looked much more appealing
2023-11-28,VhHwZub5-bY,lets start with the look love it
2023-11-26,VhHwZub5-bY,point of information  4 dots in morse code represents the letter h hyundai
2023-11-25,VhHwZub5-bY,with alex and rory on great form theres no need to regret the pausing of tg informative and entertaining content of real cars with the occasional lunatic trackmuncher thrown in
2023-12-03,VhHwZub5-bY,yeah this very much had a tg review feel to it not bad or derivative but the general flow felt very similar perhaps not quite as many overt silly references or elaborate cinematography but it definitely feels like it has the same presenter dna as it were
2023-11-24,VhHwZub5-bY,this is a bold af design
2023-11-23,VhHwZub5-bY,mmm pressable buttons i do really love those
2023-11-23,VhHwZub5-bY,awful looking car
2023-11-22,VhHwZub5-bY,allready got one gorgeaous
2023-11-22,VhHwZub5-bY,why make it look so bloody awful
2023-11-21,VhHwZub5-bY,my question would be does the kona build still feel cheaper than the niro ev thats its competition id say at least in the usa where our cheaper ev offerings are nonexistent
2023-12-01,VhHwZub5-bY,the niro is a bigger bigger car
2023-12-03,VhHwZub5-bY,bernardhilton3527 thats what i was wondering back in the day the niro had a bigger boot space and now that the kona has gotten an upgrade on that front are they about on par
2023-11-21,VhHwZub5-bY,yikes that cars surfaces were overdrawn by 2x wth hyundai do you pay your designers by the line
2023-11-20,VhHwZub5-bY,alex is a great rewiver
2023-11-20,VhHwZub5-bY,costs too much why would anyone buy this over a model 3 for the same money
2023-11-19,VhHwZub5-bY,there goes the fog light when adding a tow bar
2023-11-19,VhHwZub5-bY,that front charging port is hideous if you have a front charge point locate centrally and it the kona or hyundai insignia
2023-11-19,VhHwZub5-bY,is it me or is the car bouncing around that long curve
2023-11-19,VhHwZub5-bY,"alexandra is sublime  

the sound engineer at least in this instance needs to chill on the musics volume throughout the program i had to adjust the sound"
2023-11-19,VhHwZub5-bY,cars used to have buttons
2023-11-19,VhHwZub5-bY,no electric car good in outback australia large family car ha
2023-11-18,VhHwZub5-bY,er those pockets are on the seats not the doors
2023-11-18,VhHwZub5-bY,fantastic video editing 
2023-11-18,VhHwZub5-bY,i dig the new design language very crisp
2023-11-18,VhHwZub5-bY,great review alex  as ussual  im not jet convinced about full electric cars but im getting there  some look very nice so i might drive some full electric car one day
2023-11-18,VhHwZub5-bY,is it just me or does the interior look outdated already
2023-11-18,VhHwZub5-bY,where do you store your charging cables type 2 then if not in the frunk  you really want to take all your luggage out so you can get your charging cables out no thanks ill put mine in the frunk and 27l is a good size for a type2 cable
2023-11-18,VhHwZub5-bY,do you mean 18m wide 15m high 
2023-11-18,VhHwZub5-bY,frunks can be used to keep a freaking spare tire but no they prefer to include a useless tire inflation kit cause is cheaper 
2023-12-13,VhHwZub5-bY,i saw the demo model in australia and it actually had a space saver tyre havent seen the production model as yet as we have had none delivered over here
2023-11-17,VhHwZub5-bY,too many creases and charger at the front spoils it for me
2023-11-17,VhHwZub5-bY,add chapters
2023-11-16,VhHwZub5-bY,"in the footage through the trees where the road surface was a mini rollercoaster the car looked to be way under damped
if you regularly carry kids in the back and you let them use their devices it could be a good idea to invest in some of those paper bags the airlines provide     "
2023-11-17,VhHwZub5-bY,it will be a pig in a wallow
2023-11-16,VhHwZub5-bY,i cannot get my head around the chargingport door  the kia niro ev sibling car has a rectangular ish door front deadcentre for some quirk of the human brain this does not seem to be nearly as noticeable or in your face
2023-11-16,VhHwZub5-bY,"dont knock the frunk  the charge port is in the front so it is the perfect size and location to store the charging cables  so many reviews tell us that the space below the luggage compartment floor is where you put your cables the only time you are guaranteed to need them is on a trip when the luggage compartment is full of  wait for it  luggage
do i really want to empty all my matching louis vuitton calfskin portmanteaus onto the wet greasy tarmac in a downpour just to get to my cables     nnooo       "
2023-12-23,VhHwZub5-bY,having owned an eniro since march 2019 i can tell you that when youre on a long trip and are loaded up with luggage you dont need your charge cable this is because you are only interested in dc rapid chargers en route and of course they have their own cables we live in south west france and have done many long haul trips within france to uk switzerland and germany and the only reason to access the type 2 cable is when staying in hotels that offer free overnight charging by which time you have unloaded your cases and freed up the underfloor storage for the cablesjust thought i would throw in some real world experience there 
